KEY,NAME,EPIC_KEY,LONGNAME,GENERIC_NAME,UNITS,FORMAT,COMMENTS
1,P  ,P_1,PRESSURE (DB)            ,depth,dbar,f10.1,
2,D  ,D_2,DEPTH (CM)               ,depth,cm, ,
3,D  ,D_3,DEPTH (M)                ,depth,m,f10.1,
4,P  ,P_4,PRESSURE (PASCALS)       ,depth,Pa, ,
5,PD ,PD_5,PRESSURE DIFFERENCE (DB) ,depth,dbar, ,
6,ISO,ISO_6,ISOTHERM DEPTH (M)       ,depth,m, ,
7,SL ,SL_7,SEA LEVEL ANOMALY (M)    ,depth,m, ,
8,MLD,MLD_8,MIXED LAYER DEPTH (M)    ,depth,m, ,Program MIXDEP
9,P  ,P_9,SEA LEVEL PRESSURE (MB)  ,depth,mbar, ,For Ferret
10,DYN,DYN_10,DYNAMIC METERS           ,dynhgt,dyn-m,f10.4,
11,DYN,DYN_11,DYM HT (SUBSAMPLED DATA) ,dynhgt, , ,
12,dDN,dDN_12,DYNn-DYNs                ,dynhgt, ,f10.5,Diff of North and South Dyn Ht.
13,DYN,DYN_13,DYNAMIC HEIGHT (DYN CM)  ,dynhgt,dyn-cm, ,
14, dD,dD_14,dDYN1-dDYN2 (DYN M)      ,dynhgt,dyn-m, ,Delta-Dyn (ctd1-ctd2) for geost vel calc
15,d1 ,d1_15,DYN1 (DYN M)             ,dynhgt,dyn-m, ,Dyn1 (ctd1) for geost vel calc
16,d2 ,d2_16,DYN2 (DYN M)             ,dynhgt,dyn-m, ,Dyn2 (ctd2) for geost vel calc
17,ZPG,ZPG_17,ZONAL PRESSURE GRAD      , , , ,Calculated for specific areas
18,hght,hght_18,height (m)              ,height,m,f10.2,
20,T  ,T_20,TEMPERATURE (C)          ,temp,C,f10.2,IPTS-1968 standard
21,AT ,AT_21,AIR TEMPERATURE (C)      ,atemp,C, ,
22,T0 ,T0_22,THERM TEMPERATURE (C)    ,temp,C, ,Reversing therm. 1E35 indicates no therm.
23,AT ,AT_23,AIR TEMPERATURE MIN (C)  ,atemp,C, ,
24,AT ,AT_24,AIR TEMPERATURE MAX (C)  ,atemp,C, ,
25,T  ,T_25,SST (C)                  ,temp,C, ,
26,T  ,T_26,SST MIN (C)              ,temp,C, ,
27,T  ,T_27,SST MAX (C)              ,temp,C, ,
28,T  ,T_28,TEMPERATURE (C)          ,temp,C,f10.2 ,ITS-1990 Standard
29,IT ,IT_29,TEMP INTEGRAL            ,temp,C, ,Depth integrated temperature
30,PT ,PT_30,POTENTIAL TEMP (C)       ,potemp, , ,PT = Potential Temperature
31,P4 ,P4_31,POTENTIAL TEMP 4000 (C)  ,potemp, , ,Potential temp with 4000m reference level
32,T  ,T_32,TEMPERATURE (C)          ,temp,C,f10.4,unknown standard
33,T  ,T_33,CORRECTED TEMPERATURE (C),temp,C,f10.4,corrected for mooring motion
34,T2 ,T2_34,Secondary Temperature    ,temp,C,f10.2,IPTS-1968 standard
35,T2 ,T2_35,Secondary Temperature    ,temp,C,f10.2,ITS-1990 Standard
36,DST,DST_36,d(SST)/dt                ,dsst/dt,C/day, ,
38,PT ,PT_38,POTENTIAL TEMP (C)       ,potemp, , ,Potential Temperature (ITS-90)
40,S  ,S_40,SALINITY (PPT)           ,sal,PPT,f10.2,From SALIN1
41,S  ,S_41,SALINITY (PSU)           ,sal,PSU, ,Practical Salinity Units
42,S  ,S_42,SALINITY (PSU)           ,sal,PSU, ,Practical Salinity Units
43,S0 ,S0_43,BOTTLE SALINITY (PSU)    ,sal,PSU, ,From Salinometer. 1E35 indicates no sample.
44,S3 ,S3_44,Alternate Salinity       ,sal, , ,Practical Salinity Units
45,S4 ,S4_45,Alternate Salinity       ,sal, , ,Practical Salinity Units
48,SpC ,SpC_48,Specific Conductance    ,con,mS/cm,f10.3,temperature compensated to 25C
49,S  ,S_49,SALINITY                 ,sal, ,f10.2,"calculated for XBT's from mean T-S curve, M McCarty"
50,C  ,C_50,CONDUCTIVITY             ,con,mmho/cm, ,
51,C  ,C_51,CONDUCTIVITY             ,con,S/m,f10.3,
52,rcon,rcon_52,RAW CONDUCTIVITY (SEABIRD),cond,counts,i10,Seabird cell raw conductivity
53,rcon,rcon_53,RAW CONDUCTIVITY (VACM) ,cond,counts,i10,vacm raw conductivity
54,C2  ,C2_54,Secondary Conductivity  ,con,mmho/cm, ,
55,ATTN,ATTN_55,ATTENUATION             ,attn,m-1,f7.5,added for r2d2 ctd data
56,NEP,NEP_56,BACKSCATTER INTENSITY    ,nephylometer,v,f10.6, added for Dave Pashinski
60,O  ,O_60,OXYGEN (ML/L)            ,ox,ml/l,f10.2,Dissolved oxygen calculated from CTD values
61,BO ,BO_61,BOTTLE OXYGEN (ML/L)     ,ox,ml/l, ,DO determined by titration. 1E35 ->no sample
62,OST,OST_62,"OXYGEN, %SAT             ",ox,%, ,
64,AOU,AOU_64,APPARENT O2 UTILIZATION  ,ox,ml/l, ,
65,O  ,O_65,OXYGEN (UMOL/KG)         ,ox,umol/kg,f10.2,Dissolved oxygen calculated from CTD values
66,BO ,BO_66,BOTTLE OXYGEN (UMOL/KG)  ,ox,umol/kg, ,DO determined by titration. 1E35 ->no sample
70,ST ,ST_70,SIGMA-T (KG/M**3)        ,den,kg m-3,f10.2,
71,STH,STH_71,SIGMA-THETA (KG/M**3)    ,potden,kg m-3 ,f10.2,
72,S2 ,S2_72,SIGMA 2 (KG/M**3)        ,potden2,kg m-3,f10.2,sigma-theta ref to 2000m
73,S3 ,S3_73,SIGMA 3 (KG/M**3)        ,potden3,kg m-3,f10.2,sigma-theta ref to 3000m
74,S4 ,S4_74,SIGMA 4 (KG/M**3)        ,potden4,kg m-3,f10.2,sigma-theta ref to 4000m
75,S5 ,S5_75,SIGMA 5 (KG/M**3)        ,potden5,kg m-3,f10.2,sigma-theta ref to 5000m
76,S1 ,S1_76,SIGMA 1 (KG/M**3)        ,potden1,kg m-3,f10.2,sigma-theta ref to 1000m
77,GN ,GN_77,GAMMA N (KG/M**3)        ,gamma_n,kg m-3,f10.2,Neutral Density
80,SV ,SV_80,SOUND VELOCITY (M/S)     , ,m s-1, ,
81,FAC,FAC_81,SND SPD CORR. FACTOR     ,factor, ,f10.3,corr. BASS currents for actual sound speed
84,RHO,RHO_84,DENSITY (KG/M**3)        ,den,kg m-3,f10.2,
85,SPV,SPV_85,SPECIFIC VOLUME          , , , ,
